benchmark_dir,name,length,PEG2PEGTIME,PBTIME,ENGINETIME,Optimization took,nodes:,values:
java/polybench/datamining/,"Covariance: void <init>()",4,222,154,4,297,10,10
java/polybench/datamining/,"Covariance: void initArray(int,int,double[],double[][])",33,31279,30529,676,31380,1108,1272
java/polybench/datamining/,"Covariance: void printArray(int,double[][])",44,1406,739,592,1542,656,1079
java/polybench/datamining/,"Covariance: void kernelCovariance(int,int,double,double[][],double[][],double[])",130,19246,18642,520,19447,503,1790
java/polybench/datamining/,"Covariance: void main(java.lang.String[])",55,300,202,25,395,84,84
java/polybench/datamining/,"Correlation: void <init>()",4,221,153,4,295,10,10
java/polybench/datamining/,"Correlation: void initArray(int,int,double[],double[][])",34,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE,FAILURE
java/polybench/datamining/,"Correlation: void printArray(int,double[][])",44,1410,741,593,1549,664,1115
java/polybench/datamining/,"Correlation: void kernelCorrelation(int,int,double,double[][],double[][],double[],double[])",226,12056,11468,497,12342,613,1884
java/polybench/datamining/,"Correlation: void main(java.lang.String[])",59,304,204,27,391,87,87
java/polybench/linear-algebra/blas/,"Syrk: void <init>()",4,222,153,4,298,10,10
java/polybench/linear-algebra/blas/,"Syrk: void initArray(int,int,double[],double[],double[][],double[][])",70,3064,2326,661,3149,828,1351
java/polybench/linear-algebra/blas/,"Syrk: void printArray(int,double[][])",44,1527,855,596,1665,676,1077
java/polybench/linear-algebra/blas/,"Syrk: void kernelSyrk(int,int,double,double,double[][],double[][])",60,1523,894,556,1664,460,1634
java/polybench/linear-algebra/blas/,"Syrk: void main(java.lang.String[])",59,304,203,27,399,87,87
java/polybench/linear-algebra/blas/,"Symm: void <init>()",4,221,152,4,294,10,10
java/polybench/linear-algebra/blas/,"Symm: void initArray(int,int,double[],double[],double[][],double[][],double[][])",97,30079,29433,570,30237,793,1345
java/polybench/linear-algebra/blas/,"Symm: void printArray(int,int,double[][])",44,1414,746,595,1553,693,1084
java/polybench/linear-algebra/blas/,"Symm: void kernelSymm(int,int,double,double,double[][],double[][],double[][])",90,19917,19302,537,20087,459,1791
java/polybench/linear-algebra/blas/,"Symm: void main(java.lang.String[])",66,305,204,28,401,90,90
java/polybench/linear-algebra/blas/,"Gemver: void <init>()",4,222,154,4,298,10,10
java/polybench/linear-algebra/blas/,"Gemver: void initArray(int,double[],double[],double[][],double[],double[],double[],double[],double[],double[],double[],double[])",109,174576,173893,607,174660,878,1224
java/polybench/linear-algebra/blas/,"Gemver: void printArray(int,double[])",31,1588,989,527,1697,780,761
java/polybench/linear-algebra/blas/,"Gemver: void kernelGemver(int,double,double,double[][],double[],double[],double[],double[],double[],double[],double[],double[])",123,158517,157897,540,158702,512,1616
java/polybench/linear-algebra/blas/,"Gemver: void main(java.lang.String[])",89,322,214,34,421,106,106
java/polybench/linear-algebra/blas/,"Trmm: void <init>()",4,223,152,5,300,10,10
java/polybench/linear-algebra/blas/,"Trmm: void initArray(int,int,double[],double[][],double[][])",63,5416,4712,629,5548,801,1198
java/polybench/linear-algebra/blas/,"Trmm: void printArray(int,int,double[][])",44,1533,857,601,1676,694,1089
java/polybench/linear-algebra/blas/,"Trmm: void kernelTrmm(int,int,double,double[][],double[][])",56,1376,732,570,1509,316,1757
java/polybench/linear-algebra/blas/,"Trmm: void main(java.lang.String[])",53,293,199,24,387,81,81
java/polybench/linear-algebra/blas/,"Gesummv: void <init>()",4,224,154,4,300,10,10
java/polybench/linear-algebra/blas/,"Gesummv: void initArray(int,double[],double[],double[][],double[][],double[])",66,5929,5186,669,6009,967,1453
java/polybench/linear-algebra/blas/,"Gesummv: void printArray(int,double[])",31,2100,1493,531,2210,777,757
java/polybench/linear-algebra/blas/,"Gesummv: void kernelGesummv(int,double,double,double[][],double[][],double[],double[],double[])",68,2966,2342,550,3104,345,1395
java/polybench/linear-algebra/blas/,"Gesummv: void main(java.lang.String[])",68,315,213,30,412,94,94
java/polybench/linear-algebra/blas/,"Syr2k: void <init>()",4,224,153,4,298,10,10
java/polybench/linear-algebra/blas/,"Syr2k: void initArray(int,int,double[],double[],double[][],double[][],double[][])",86,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/linear-algebra/blas/,"Syr2k: void printArray(int,double[][])",44,1625,952,599,1760,685,1077
java/polybench/linear-algebra/blas/,"Syr2k: void kernelSyr2k(int,int,double,double,double[][],double[][],double[][])",74,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
java/polybench/linear-algebra/blas/,"Syr2k: void main(java.lang.String[])",65,303,204,27,399,90,90
java/polybench/linear-algebra/blas/,"Gemm: void <init>()",4,223,154,4,298,10,10
java/polybench/linear-algebra/blas/,"Gemm: void initArray(int,int,int,double[],double[],double[][],double[][],double[][])",100,274914,274135,703,274998,1048,1540
java/polybench/linear-algebra/blas/,"Gemm: void printArray(int,int,double[][])",44,1634,959,602,1768,704,1105
java/polybench/linear-algebra/blas/,"Gemm: void kernelGemm(int,int,int,double,double,double[][],double[][],double[][])",60,1839,1202,563,1983,506,1559
java/polybench/linear-algebra/blas/,"Gemm: void main(java.lang.String[])",70,306,207,28,404,92,92
java/polybench/linear-algebra/kernels/,"TwoMM: void <init>()",4,222,153,5,295,10,10
java/polybench/linear-algebra/kernels/,"TwoMM: void initArray(int,int,int,int,double[],double[],double[][],double[][],double[][],double[][])",132,4026,3143,803,4113,1487,1690
java/polybench/linear-algebra/kernels/,"TwoMM: void printArray(int,int,double[][])",44,1715,1049,591,1844,698,1072
java/polybench/linear-algebra/kernels/,"TwoMM: void kernelTwoMM(int,int,int,int,double,double,double[][],double[][],double[][],double[][],double[][])",99,3314,2706,528,3614,462,1686
java/polybench/linear-algebra/kernels/,"TwoMM: void main(java.lang.String[])",85,313,208,31,412,101,101
java/polybench/linear-algebra/kernels/,"Mvt: void <init>()",4,222,154,4,295,10,10
java/polybench/linear-algebra/kernels/,"Mvt: void initArray(int,double[],double[],double[],double[],double[][])",76,35324,34597,652,35400,1089,1218
java/polybench/linear-algebra/kernels/,"Mvt: void printArray(int,double[],double[])",60,7121,6551,492,7273,688,834
java/polybench/linear-algebra/kernels/,"Mvt: void kernelMvt(int,double[],double[],double[],double[],double[][])",60,135494,134840,577,135623,700,1499
java/polybench/linear-algebra/kernels/,"Mvt: void main(java.lang.String[])",56,294,199,26,389,79,79
java/polybench/linear-algebra/kernels/,"Doitgen: void <init>()",4,221,150,5,294,10,10
java/polybench/linear-algebra/kernels/,"Doitgen: void initArray(int,int,int,double[][][],double[][])",69,7759,7052,635,7840,890,1475
